date, open, high, low, close
2018-12-07, 22.0, 22.75, 18.51, 18.6
2018-12-10, 18.9, 19.439, 18.0, 18.8
2018-12-11, 20.55, 20.66, 17.99, 18.01
2018-12-12, 18.55, 19.48, 18.02, 18.68
2018-12-13, 19.25, 19.29, 18.68, 18.76
2018-12-14, 18.75, 18.881, 18.25, 18.32
2018-12-17, 18.33, 18.47, 16.9, 17.0
2018-12-18, 17.1, 17.25, 16.25, 17.0
2018-12-19, 16.86, 17.37, 16.0, 16.18
2018-12-20, 16.0, 16.14, 14.75, 15.5
2018-12-21, 15.4, 15.5, 13.95, 14.47
2018-12-24, 14.32, 14.32, 13.75, 14.03
2018-12-26, 14.15, 14.31, 13.03, 13.52
2018-12-27, 13.49, 14.95, 13.27, 14.65
2018-12-28, 14.72, 14.85, 13.8184, 14.15
2018-12-31, 14.24, 15.3, 14.2129, 15.27
2019-01-02, 14.93, 15.45, 14.51, 15.33
2019-01-03, 15.49, 16.08, 15.2, 15.5
2019-01-04, 16.0, 17.5, 15.894, 16.96
2019-01-07, 17.54, 17.94, 16.18, 16.27
2019-01-08, 17.35, 17.468, 16.05, 16.95
2019-01-09, 17.2, 17.25, 16.15, 16.33
2019-01-10, 16.36, 16.51, 16.0, 16.48
2019-01-11, 16.6, 17.06, 16.53, 17.0
2019-01-14, 17.0, 17.06, 16.72, 16.74
2019-01-15, 17.0, 17.0, 16.41, 16.59
2019-01-16, 16.8, 16.95, 16.26, 16.26
2019-01-17, 16.05, 16.53, 16.05, 16.31
2019-01-18, 16.46, 16.8, 16.25, 16.69
2019-01-22, 16.62, 16.6345, 15.35, 15.56
2019-01-23, 15.59, 15.92, 14.76, 14.79
2019-01-24, 14.9, 15.195, 14.64, 14.64
2019-01-25, 14.8, 14.92, 14.4, 14.91
2019-01-28, 14.84, 14.84, 14.45, 14.45
2019-01-29, 14.46, 14.875, 14.45, 14.63
2019-01-30, 14.72, 15.545, 14.65, 15.13
2019-01-31, 15.24, 17.48, 15.24, 16.6
2019-02-01, 16.8, 17.008, 15.9, 16.22
2019-02-04, 16.22, 16.49, 15.95, 16.27
2019-02-05, 16.29, 17.49, 16.208, 17.18
2019-02-06, 17.25, 18.39, 17.11, 18.14
2019-02-07, 17.95, 18.068, 17.04, 17.05
2019-02-08, 17.1, 18.15, 17.1, 17.99
2019-02-11, 17.99, 18.646, 17.751, 18.17
2019-02-12, 18.21, 18.76, 17.6, 18.69
2019-02-13, 18.99, 19.22, 18.3, 18.53
2019-02-14, 18.64, 19.96, 18.63, 19.66
2019-02-15, 19.94, 21.467, 19.7, 21.44
2019-02-19, 21.51, 21.513, 20.05, 20.83
2019-02-20, 21.12, 21.24, 19.13, 19.92
2019-02-21, 19.74, 19.98, 18.88, 19.34
2019-02-22, 19.35, 20.04, 19.35, 19.88
2019-02-25, 20.54, 22.3, 19.83, 21.65
2019-02-26, 21.6, 24.4, 21.56, 23.7
2019-02-27, 23.37, 23.83, 21.53, 22.1
2019-02-28, 22.45, 23.03, 22.05, 22.6
2019-03-01, 23.09, 23.39, 21.64, 22.27
2019-03-04, 22.47, 22.8, 20.52, 21.12
2019-03-05, 21.18, 21.49, 20.29, 21.37
2019-03-06, 21.4, 22.05, 20.06, 20.65
2019-03-07, 20.42, 21.155, 19.612, 20.59
2019-03-08, 20.37, 21.08, 19.9, 20.93
2019-03-11, 20.99, 20.99, 19.97, 20.43
2019-03-12, 20.52, 20.89, 19.12, 19.26
2019-03-13, 19.3, 20.255, 19.23, 19.97
2019-03-14, 19.92, 21.0, 19.92, 20.82
2019-03-15, 20.99, 22.19, 20.89, 21.82
2019-03-18, 21.74, 22.22, 21.22, 22.18
2019-03-19, 22.47, 22.6, 20.18, 20.35
2019-03-20, 20.41, 20.98, 19.9, 20.0
2019-03-21, 20.0, 20.25, 19.21, 19.34
2019-03-22, 19.38, 19.7, 18.75, 19.0
2019-03-25, 19.0, 19.59, 18.21, 19.4
2019-03-26, 19.61, 19.94, 19.24, 19.9
2019-03-27, 20.08, 20.08, 18.89, 19.27
2019-03-28, 19.3, 19.74, 19.0, 19.66
2019-03-29, 19.87, 20.8, 19.47, 20.35
2019-04-01, 20.54, 20.915, 20.04, 20.59
2019-04-02, 20.68, 20.68, 19.54, 19.7
2019-04-03, 19.92, 21.67, 19.81, 21.33
2019-04-04, 21.12, 23.18, 21.04, 23.08
2019-04-05, 23.8, 26.23, 22.665, 25.96
2019-04-08, 25.9, 29.79, 25.6, 27.23
2019-04-09, 27.3, 28.4, 26.311, 26.82
2019-04-10, 26.9, 27.74, 26.5, 26.8
2019-04-11, 26.82, 26.99, 24.26, 25.73
2019-04-12, 26.0, 26.051, 24.27, 24.61
2019-04-15, 24.99, 25.94, 24.62, 25.84
2019-04-16, 26.0, 26.22, 23.65, 23.78
2019-04-17, 24.0, 24.12, 22.314, 23.5
2019-04-18, 23.47, 23.55, 22.43, 22.51
2019-04-22, 22.7, 23.99, 22.511, 23.63
2019-04-23, 23.73, 24.983, 23.73, 24.7
2019-04-24, 24.8, 25.76, 24.29, 25.76
2019-04-25, 25.76, 26.72, 25.43, 25.74
2019-04-26, 25.83, 27.3, 25.69, 26.26
2019-04-29, 26.28, 27.2, 24.971, 25.14
2019-04-30, 25.28, 26.03, 25.0, 26.03
2019-05-01, 26.31, 27.09, 25.87, 26.4
2019-05-02, 26.33, 28.49, 26.19, 28.34
2019-05-03, 28.89, 28.95, 26.85, 27.2
2019-05-06, 26.38, 27.81, 26.25, 27.1
2019-05-07, 27.18, 27.256, 24.16, 24.55
2019-05-08, 23.7, 26.0, 23.53, 23.54
2019-05-09, 23.5, 24.0, 22.75, 23.26
2019-05-10, 23.04, 24.93, 22.8, 24.92
2019-05-13, 24.46, 24.77, 23.225, 24.43
2019-05-14, 24.5, 24.89, 23.57, 23.59
2019-05-15, 23.46, 23.84, 22.81, 23.12
2019-05-16, 23.5, 24.05, 23.15, 23.46
2019-05-17, 23.31, 23.429, 21.68, 23.08
2019-05-20, 22.85, 23.6, 22.55, 22.6
2019-05-21, 22.65, 23.16, 22.43, 22.7
2019-05-22, 22.65, 22.768, 21.93, 22.0
2019-05-23, 21.75, 21.94, 21.01, 21.38
2019-05-24, 21.56, 22.0, 21.41, 21.83
2019-05-28, 22.3, 22.46, 21.44, 21.54
2019-05-29, 21.71, 21.898, 21.16, 21.7
2019-05-30, 21.84, 21.9, 21.05, 21.49
2019-05-31, 21.16, 21.38, 20.74, 20.78
2019-06-03, 20.79, 20.99, 18.82, 19.85
2019-06-04, 19.76, 20.74, 19.23, 19.47
2019-06-05, 19.2, 19.2, 17.2, 17.7
2019-06-06, 17.83, 18.921, 17.61, 17.94
2019-06-07, 17.71, 18.4, 17.3, 17.52
2019-06-10, 17.85, 17.99, 15.67, 15.67
2019-06-11, 16.09, 16.88, 15.75, 16.0
2019-06-12, 16.11, 16.36, 15.62, 16.3
2019-06-13, 16.42, 17.59, 16.05, 16.16
2019-06-14, 16.25, 16.675, 15.32, 15.4
2019-06-17, 15.54, 15.85, 15.28, 15.77
2019-06-18, 15.9, 16.19, 15.578, 15.74
2019-06-19, 15.75, 16.3025, 15.37, 15.5
2019-06-20, 15.85, 15.935, 14.86, 15.18
2019-06-21, 15.2, 15.32, 14.5, 14.7
2019-06-24, 14.41, 14.691, 14.02, 14.04
2019-06-25, 14.11, 14.25, 13.65, 13.77
2019-06-26, 13.92, 14.18, 13.65, 13.7
2019-06-27, 13.5, 14.405, 13.5, 14.34
2019-06-28, 14.41, 14.64, 14.11, 14.64
2019-07-01, 14.86, 15.08, 14.47, 14.73
2019-07-02, 14.71, 14.71, 14.0, 14.4
2019-07-03, 14.5, 15.33, 14.4, 15.31
2019-07-05, 15.47, 15.47, 14.83, 14.96
2019-07-08, 14.89, 14.9, 14.14, 14.29
2019-07-09, 14.31, 14.85, 14.15, 14.85
2019-07-10, 14.94, 15.22, 14.05, 14.48
2019-07-11, 14.56, 14.7, 14.12, 14.44
2019-07-12, 14.27, 14.48, 14.06, 14.2
2019-07-15, 14.28, 14.46, 14.0, 14.32
2019-07-16, 14.32, 14.475, 14.0, 14.14
2019-07-17, 14.17, 14.59, 14.0, 14.03
2019-07-18, 14.09, 14.28, 13.9, 14.26
2019-07-19, 14.29, 14.4, 14.01, 14.11
2019-07-22, 14.22, 14.32, 13.91, 14.05
2019-07-23, 14.06, 14.13, 13.12, 13.6
2019-07-24, 13.75, 14.52, 13.473, 14.47
2019-07-25, 14.51, 14.65, 13.5, 13.51
2019-07-26, 13.59, 14.18, 13.36, 14.12
2019-07-29, 14.17, 14.33, 13.56, 13.69
2019-07-30, 13.61, 13.76, 13.29, 13.4
2019-07-31, 13.42, 13.51, 13.04, 13.1
2019-08-01, 13.2, 13.4, 12.71, 13.01
2019-08-02, 13.0, 13.037, 12.4, 12.73
2019-08-05, 12.55, 12.69, 12.2, 12.26
2019-08-06, 12.5, 12.868, 11.9, 12.29
2019-08-07, 12.26, 14.5, 11.54, 12.85
2019-08-08, 12.91, 13.3, 12.3, 13.19
2019-08-09, 13.14, 13.55, 12.97, 13.33
2019-08-12, 13.42, 13.68, 12.984, 13.02
2019-08-13, 13.0, 13.395, 12.76, 13.3
2019-08-14, 13.08, 13.22, 12.5, 12.74
2019-08-15, 12.72, 12.95, 12.47, 12.67
2019-08-16, 12.85, 13.24, 12.79, 13.16
2019-08-19, 13.25, 13.5, 13.02, 13.4
2019-08-20, 13.87, 14.65, 13.6, 14.15
2019-08-21, 14.25, 14.41, 13.76, 14.29
2019-08-22, 14.37, 14.43, 14.04, 14.16
2019-08-23, 14.08, 14.36, 13.83, 13.88
2019-08-26, 14.01, 15.38, 14.0, 14.97
2019-08-27, 15.17, 15.5, 14.12, 14.51
2019-08-28, 14.51, 15.04, 14.38, 14.82
2019-08-29, 14.91, 15.2, 14.61, 15.18
